brand_code,carb_volume,fill_ounces,pc_volume,carb_pressure,carb_temp,psc_fill,psc_co2,mnf_flow_bin,carb_pressure1,fill_pressure,hyd_pressure1_bin,hyd_pressure2_bin,hyd_pressure3_bin,hyd_pressure4,filler_level,temperature,usage_cont,carb_flow_bin,density_bin,balling_bin,pressure_vacuum,ph,bowl_setpoint_bin,pressure_setpoint_bin,air_pressurer_bin,alch_rel_bin,carb_rel,balling_lvl_bin,filler_speed_trans,psc_trans,mfr_trans,oxygen_filler_trans
D,5.42666666666667,23.9733333333333,0.188,69.2,141.8,0.3,0.12,negative,122.8,46.8,zero,above_zero,zero,114,121,69.2,13.4,low,high,high,-5,NA,120,52,low,high,5.44,high,508031.5,-1.6101282262076415,42223.68000000001,-2.1708524173271297
D,5.44666666666667,23.9466666666667,0.33,70.8,143.2,0.219999999999999,0.0600000000000005,negative,118.2,46,above_zero,above_zero,above_zero,72,119.4,66.2,18.06,high,high,high,-5,NA,120,46,low,high,5.56,high,8080199.5,-1.4272871574689459,267472.48,-1.820369368383727
B,5.29333333333333,23.8666666666667,0.28,70.6,145.8,0.16,0.0199999999999996,negative,116.8,46,above_zero,above_zero,above_zero,98,119.6,65.2,17,high,low,low,-5.2,NA,120,46,low,low,5.38,low,7620607.5,-1.6,253471.5,-1.796278502463194
B,5.36666666666667,23.96,0.370666666666667,64,136.6,0.199999999999999,0.0600000000000005,negative,119.2,46,above_zero,above_zero,above_zero,96,120,64.8,18.9,high,low,low,-5.4,NA,120,46,low,low,5.36,low,7597201.5,-1.1609529214638787,252475.68000000002,-1.7501628257398356
B,5.36,24.0133333333333,0.284666666666667,67.6,141,0.0799999999999983,0.04,negative,125.4,46,above_zero,above_zero,above_zero,106,119.4,65.4,22.48,high,low,low,-4.8,NA,120,46,low,low,5.36,low,7612801.5,-1.7470177871865298,249924,-1.982911831727418
B,5.34,23.9666666666667,0.338666666666667,62.6,133,0.18,0.16,negative,125,46,above_zero,above_zero,above_zero,104,120,64.8,20.16,high,low,low,-4.8,NA,120,46,low,low,5.4,low,7589407.5,-1.4559411796505821,252902.22000000003,-2.2319707625728427
C,5.22,24.1266666666667,0.290666666666667,71,149.2,0.0199999999999996,0.08,negative,126,46,above_zero,above_zero,above_zero,102,119.8,67,20.98,high,low,low,-5,NA,120,46,low,low,5.44,low,7581617.5,-1.4559411796505821,249217.5,-1.4360338630036926
C,5.18666666666667,23.82,0.333333333333333,65.4,140.8,0.199999999999999,0.12,negative,121.6,45.8,above_zero,above_zero,above_zero,94,120.6,69.2,18.44,high,low,low,-5.4,NA,120,46,low,low,5.32,low,8008001.5,-1.5527864045000421,264845.92,-1.717218551671142
C,5.28666666666667,23.9466666666667,0.378666666666667,63.4,136.8,0.120000000000001,0.0199999999999996,negative,123.4,46.2,above_zero,above_zero,above_zero,96,119.8,66.8,20.2,high,low,low,-5.4,NA,120,46,low,low,5.32,low,7636231.5,-1.3868116113297644,251340,-1.7501628257398356
C,5.21333333333333,23.82,0.305333333333333,63,137,0.220000000000002,0.08,negative,127.6,54.8,zero,zero,zero,118,122.6,65.8,16.24,low,low,low,-5.4,NA,120,46,low,low,5.3,low,506017.5,-1.1514718625761429,48984,-1.9248483425651775
B,5.28666666666667,23.8733333333333,0.366666666666667,64.8,138.6,0.279999999999998,0.04,negative,117.2,46.2,above_zero,above_zero,above_zero,92,119.4,66.2,20.68,high,low,low,-5.8,NA,120,46,low,low,5.38,low,7589407.5,-1.3803226646068132,265282.77999999997,-2.0295903420323516
B,5.28,23.8666666666667,0.346,64.6,138.4,0.18,0.04,negative,116.8,46,above_zero,above_zero,above_zero,90,119.4,65.8,20.56,high,low,low,-5.8,NA,120,46,low,low,5.38,low,7581617.5,-1.53524199845511,254041.41999999995,-2.0458230609372223
D,5.51333333333333,23.9,0.368666666666667,68.4,137.2,0.36,0.0799999999999992,negative,123.2,46,above_zero,above_zero,above_zero,74,121.4,67.8,24.34,high,high,high,-5,NA,120,46,low,high,5.68,high,7620607.5,-1.2151433251860566,251198.21999999997,-2.1516047398582434
D,5.49333333333333,23.88,0.312666666666667,68.6,138.8,0.140000000000001,0.0199999999999996,negative,120.2,46,above_zero,above_zero,above_zero,78,119.4,65.6,16.82,high,high,high,-5.4,NA,120,46,low,high,5.62,high,7219999.5,-1.7033520605161736,236946.78,-2.210998445675431
B,5.26,23.84,0.348666666666667,65.6,140.8,0.0999999999999979,0.04,negative,127.4,40,zero,above_zero,zero,120,153.2,67.8,20.6,mid,low,low,-5.6,NA,120,46,low,low,5.38,low,512071.5,-1.5267136173520308,61179.520000000004,-1.7501628257398356
B,5.26666666666667,23.9066666666667,0.332666666666667,64,138.6,0.16,0.12,negative,120,45.8,above_zero,above_zero,above_zero,94,121.2,65.8,17.66,high,low,low,-5.4,NA,120,46,low,low,5.44,low,7659697.5,-1.4861906968533947,250914.77999999997,-3.227412796594755
B,5.28,23.8666666666667,0.356,62.2,134.2,0.140000000000001,0.0999999999999996,negative,121.4,46,above_zero,above_zero,above_zero,102,119.6,66,22.88,high,low,low,-5.4,NA,120,46,low,low,5.4,low,7636231.5,-1.4,254611.98,-3.059710476351058
D,5.48666666666667,23.8933333333333,0.248666666666667,75,146.8,0.100000000000001,0.04,negative,125.6,50.4,zero,above_zero,zero,114,118.4,65.4,24.6,low,high,high,-5.2,NA,120,46,low,high,5.56,high,506017.5,-1.4861906968533947,121.17999999999999,-3.253491622909425
B,5.34,23.96,0.277333333333333,63.8,135.2,0.140000000000001,0.0599999999999996,negative,117,46,above_zero,above_zero,above_zero,96,119.4,65.4,16.02,high,low,low,-5,NA,120,46,low,low,5.4,low,7573831.5,-1.5439298299603448,252049.5,-3.1157751689750786
B,5.29333333333333,23.9866666666667,0.262666666666667,66,140.2,0.18,0.0199999999999996,negative,116.8,46,above_zero,above_zero,above_zero,98,119.2,66.2,18.98,high,low,low,-4.8,NA,120,46,low,low,5.36,low,7589407.5,-1.5020040160804506,256900.61999999997,-2.95661136016372
B,5.26,23.8733333333333,0.398666666666667,67,143.2,0.220000000000002,0.0600000000000005,negative,118.6,46,above_zero,above_zero,above_zero,96,119.8,65.6,21.84,high,low,low,-5.4,NA,120,46,low,low,5.34,low,7992001.5,-1.0661905976056998,267618.78,-3.059710476351058
B,5.25333333333333,23.8733333333333,0.266666666666667,73.4,150.2,0.18,0.0199999999999996,negative,117.4,46,above_zero,above_zero,above_zero,100,119.6,65.8,24.2,high,low,low,-5.6,NA,120,46,low,low,5.36,low,7636231.5,-1.2957273255336397,252902.22000000003,-3.1465127097023236
B,5.27333333333333,23.9533333333333,0.252666666666667,70,145.6,0.100000000000001,0.0200000000000005,negative,120.4,46.2,above_zero,above_zero,above_zero,94,119.8,66,16.3,high,low,low,-5.6,NA,120,46,low,low,5.36,low,7636231.5,-1.4633436854000506,256757.28000000003,-3.1465127097023236
B,5.24,23.88,0.322666666666667,73,150.2,0.0800000000000018,0,positive,119,46,above_zero,above_zero,above_zero,92,120,65.4,19.12,high,low,low,-5.2,NA,120,46,low,low,5.36,low,7644049.5,-1.406704121032347,255040.32000000004,-3.0776792159207393
B,5.38,24.0533333333333,0.289333333333333,67.6,140,0.120000000000001,0.04,positive,116.2,45.8,above_zero,above_zero,above_zero,94,121.6,66,16.34,high,low,low,-5.2,NA,120,46,low,low,5.38,low,7667527.5,-1.373900966300059,257905.12000000002,-3.1681968924266997
A,5.45333333333333,23.8466666666667,0.382666666666667,67.4,139.2,0.260000000000002,0.08,positive,117,45.6,above_zero,above_zero,above_zero,104,116.4,66.6,15.8,high,high,high,-5.6,NA,120,46,low,mid,5.52,high,4620799.5,-1.4,120343.68000000001,-3.267137892112132
C,5.15333333333333,23.9666666666667,0.372,60.4,135.2,0.119999999999997,0.04,positive,121,46,above_zero,above_zero,above_zero,80,119.8,68.8,16.52,high,low,low,-5.4,NA,120,46,low,low,5.26,low,7628417.5,-1.677509690068058,253613.92000000004,-3.0339453979801063
C,5.31333333333333,23.9466666666667,0.349333333333333,71.6,147,0.240000000000002,0.08,positive,119.8,39.8,above_zero,above_zero,above_zero,100,120,66.8,18.84,high,low,low,-5.4,NA,120,46,low,low,5.42,low,7204807.5,-1.3612512230931475,235709.28000000003,-2.7512893903834765
D,5.54666666666667,23.8533333333333,0.34,73.8,144.8,0.0199999999999996,0.0600000000000005,positive,116.2,46.2,above_zero,above_zero,above_zero,76,118.8,65.8,17.18,high,high,high,-5.4,NA,120,46,low,high,5.7,high,8040049.5,-1.590121969361616,266303.51999999996,-3.0963460612841205
D,5.44,23.8866666666667,0.437333333333333,66.6,136.6,0.260000000000002,0.08,positive,114.4,46,above_zero,above_zero,above_zero,74,121.2,66.2,17.42,high,high,high,-5.4,NA,120,46,low,high,5.6,high,8040049.5,-1.2050157234259284,268937.27999999997,-3.059710476351058
B,5.33333333333333,23.88,0.447333333333333,65,137.8,0.0599999999999987,0.0199999999999996,positive,118,46,above_zero,above_zero,above_zero,94,120.4,65.8,16.08,high,low,low,-5.4,NA,120,46,low,low,5.38,low,7581617.5,-1.262436443416569,252902.22000000003,-3.136040363404323
B,5.33333333333333,24.0066666666667,0.349333333333333,68.6,142.4,0.18,0.0199999999999996,positive,117,46.2,above_zero,above_zero,above_zero,92,120,65.4,16.1,high,low,low,-5.2,NA,120,46,low,low,5.36,low,7235207.5,-1.241053361559589,241651.02000000002,-3.0174907630230625
D,5.53333333333333,23.8333333333333,0.348,71,142.2,0.119999999999997,0.0999999999999996,zero,119.8,44.4,zero,above_zero,zero,110,143.6,68.4,22.94,low,high,high,-5.8,NA,130,50,low,high,5.64,high,510049.5,-1.478463807583788,10109.919999999998,-2.58292130857866
C,5.21333333333333,23.9466666666667,0.394666666666667,61.8,136.2,0.120000000000001,0.04,positive,117.4,50.2,above_zero,above_zero,above_zero,100,130.4,65.8,18.64,high,low,low,-5.8,NA,130,50,low,low,5.3,low,6472801.5,-1.032529070204174,214381.01999999996,-2.978588391460068
A,5.46666666666667,23.7466666666667,0.464,67.2,137.2,0.140000000000001,0.04,positive,113,50,above_zero,above_zero,above_zero,112,130.2,68.4,19.02,high,high,high,-5.8,NA,130,50,low,mid,5.54,high,6472801.5,-1.1236439079917342,215824,-2.95661136016372
A,5.45333333333333,23.9666666666667,0.388666666666667,68.8,140.6,0.120000000000001,0.0600000000000005,positive,132,50.4,above_zero,above_zero,above_zero,118,100.6,66.4,17.2,high,high,high,-5.2,NA,100,50,low,mid,5.52,high,6472801.5,-1.7033520605161736,216876.48,-2.7273615487604554
D,5.47333333333333,23.9266666666667,0.307333333333333,72.4,144.2,0.18,0.0200000000000005,zero,127.4,49.6,zero,above_zero,zero,112,127.4,69.8,19.68,low,high,high,-4.6,NA,120,46,low,high,5.64,high,516127.5,-1.132820664452848,42223.68000000001,-2.292009180608222
D,5.49333333333333,23.8466666666667,0.348,75.2,147.8,0.180000000000003,0.0599999999999996,positive,125.2,46,above_zero,above_zero,above_zero,82,120.8,67.6,23.14,high,high,high,-4.6,NA,120,46,low,high,5.72,high,6508831.5,-1.2151433251860566,219651.41999999998,-2.330266259290165
D,5.44,23.9266666666667,0.372,72.2,144.6,0.140000000000001,0,positive,122,45.4,above_zero,above_zero,above_zero,84,120,67.4,22.7,high,high,high,-4.6,NA,120,46,low,high,5.64,high,6472801.5,-1.3868116113297644,215824,-2.3278101983356017
D,5.46666666666667,23.9,0.410666666666667,72.8,144.2,0.120000000000001,0.08,positive,127,45.6,above_zero,above_zero,above_zero,82,120.2,67.2,16.88,high,high,high,-5,NA,120,46,low,high,5.66,high,6472801.5,-1.4633436854000506,215561.28000000003,-2.2896887052058954
B,5.28,23.9666666666667,0.386,62.6,136.4,0.140000000000001,0.04,positive,128,50.2,above_zero,above_zero,above_zero,100,80,67.2,21.3,high,low,low,-5.8,NA,80,50,low,low,5.34,low,6530497.5,-1.1282202112918653,214774.08,-2.3061018321941
B,5.31333333333333,23.98,0.322666666666667,66.2,139.8,0.34,0.0200000000000005,positive,126.2,50.4,above_zero,above_zero,above_zero,98,85.8,65.4,16.24,high,low,low,-5.6,NA,90,50,low,low,5.32,low,6530497.5,-1.220256452415283,270406.07999999996,-2.2319707625728427
B,5.32666666666667,24.06,0.217333333333333,66.8,139.8,0.259999999999998,0.0600000000000005,positive,122.6,50,above_zero,above_zero,above_zero,100,79.8,65.6,23.18,high,low,low,-5.6,NA,80,50,low,low,5.32,low,6830207.5,-1.7316718427000253,228082.08,-2.1787003817738158
B,5.28666666666667,23.9533333333333,0.217333333333333,63.4,136.6,0.16,0.04,positive,120.4,53.6,above_zero,above_zero,above_zero,114,77.8,65,18.32,high,low,low,-5.8,NA,80,50,low,low,5.26,zero,3704641.5,-1.4861906968533947,125500,-2.408541103781673
A,5.42666666666667,23.9533333333333,0.334,72.8,146,0.199999999999999,0.04,positive,122.4,50.2,above_zero,above_zero,above_zero,78,79.4,66,23.38,high,high,high,-6.2,NA,80,50,low,mid,5.5,high,7597201.5,-1.4414303982492425,249358.72000000003,-2.4849815307881364
A,5.4,23.94,0.338666666666667,69.2,142,0.3,0.04,positive,126.8,50,above_zero,above_zero,above_zero,82,79.4,66.4,16.46,high,high,high,-6.2,NA,80,50,low,mid,5.5,high,7944097.5,-1.8000000000000005,260497.11999999997,-2.47260691852429
A,5.4133333333333304,23.88,0.306,69.2,141.4,0.0399999999999991,0.0199999999999996,positive,124.6,49.8,above_zero,above_zero,above_zero,82,85.2,66.4,21.68,high,high,high,-6.2,NA,80,50,low,mid,5.5,high,7644049.5,-1.470849737787082,239431.5,-2.469550811549859
B,5.30666666666667,24.0133333333333,0.266,63,135.4,0.0399999999999991,0.0200000000000005,positive,124.6,49.6,above_zero,above_zero,above_zero,98,80.6,65.6,20.28,high,low,low,-6.2,NA,80,50,high,low,5.34,low,7197217.5,-1.4559411796505821,238463.68000000002,-2.4225498105896737
B,5.33333333333333,23.9466666666667,0.286666666666667,68,142.4,0.219999999999999,0.0600000000000005,zero,133.4,57.2,zero,above_zero,zero,128,104.4,65.6,23.72,low,low,low,-5.8,NA,80,50,high,low,5.32,low,506017.5,-1.561821953995867,10109.919999999998,-2.3180751870303506
B,5.31333333333333,23.9133333333333,0.343333333333333,67.2,140.8,0.239999999999998,0.0599999999999996,positive,124.8,50.4,above_zero,above_zero,above_zero,102,80.8,65.4,22.8,high,low,low,-6,NA,80,50,high,low,5.32,low,7250431.5,-1.175378874876468,234338.08000000002,-2.3553386243013366
B,5.31333333333333,23.9066666666667,0.29,63.6,136,0.3,0.04,positive,124.4,49.2,above_zero,above_zero,above_zero,94,80.2,65.4,16.96,high,low,low,-6,NA,80,50,high,low,5.28,low,7426657.5,-1.5439298299603448,245559.81999999998,-2.3553386243013366
B,5.28666666666667,23.9733333333333,0.307333333333333,65.2,139.2,0.0199999999999996,0.0199999999999996,positive,124.4,49.2,above_zero,above_zero,above_zero,100,80,65.4,16.32,high,low,low,-5.6,NA,80,50,high,low,5.26,low,7411249.5,-1.3868116113297644,242485.97999999998,-2.4113186652537695
A,5.34666666666667,23.92,0.326666666666667,66.4,139.4,0.120000000000001,0.0200000000000005,positive,121.8,49.6,above_zero,above_zero,above_zero,90,81,68.4,14.32,high,high,high,-5.2,NA,80,50,high,mid,5.4,high,7265671.5,-1.355019380136116,231743.81999999998,-2.4574717460058295
B,5.23333333333333,23.98,0.342666666666667,68.4,143.4,0.18,0.100000000000001,positive,123.8,50.4,above_zero,above_zero,above_zero,100,109.8,66,17.72,high,low,low,-5.6,NA,110,50,high,low,5.32,low,7465247.5,-1.5020040160804506,247244.62000000002,-2.475677879094005
C,5.17333333333333,23.98,0.362,66.8,144.4,0.220000000000002,0.0199999999999996,positive,123,50,above_zero,above_zero,above_zero,114,80,66.4,21.66,high,low,low,-5.4,NA,80,50,high,low,5.28,low,7644049.5,-1.53524199845511,252049.5,-2.4634825183642635
C,5.30666666666667,23.98,0.314666666666667,64.2,137.4,0.119999999999997,0.0200000000000005,positive,124.8,50,above_zero,above_zero,above_zero,102,100.2,66.4,20.36,high,low,low,-5.4,NA,100,50,high,low,5.3,low,7644049.5,-1.4134848680553929,251056.48,-2.4818650175438366
C,5.29333333333333,23.9133333333333,0.310666666666667,74.6,151.4,0.120000000000001,0.0199999999999996,positive,123.4,53.6,above_zero,above_zero,above_zero,120,100.6,68,21.4,high,low,low,-5.4,NA,100,50,high,low,5.36,low,7667527.5,-1.4414303982492425,251907.51999999996,-2.41690982186912
B,5.34666666666667,24.04,0.285333333333333,76.4,151.8,0.140000000000001,0.04,positive,120.8,50,above_zero,above_zero,above_zero,102,79.4,66.6,23.7,high,low,low,-5.4,NA,80,50,high,low,5.38,low,7628417.5,-1.1950155281000758,247104,-2.5303269054242783
B,5.33333333333333,23.9733333333333,0.325333333333333,67.6,141.8,0.18,0.14,positive,123,49.6,above_zero,above_zero,above_zero,96,81,66.4,16.48,high,low,low,-5.4,NA,80,50,high,low,5.4,low,7636231.5,-1.1100561815485204,253186.78000000003,-2.5137504297878976
B,5.30666666666667,24.1,0.218,67.8,142.4,0.0400000000000027,0.0200000000000005,positive,123.6,50.2,above_zero,above_zero,above_zero,98,90,66,17.76,high,low,low,-5.4,NA,90,50,low,low,5.32,low,7999999.5,-1.518336216848308,265865.82,-2.3180751870303506
B,5.26666666666667,23.9466666666667,0.241333333333333,67.8,143.2,0.18,0.0200000000000005,positive,123,54,above_zero,above_zero,above_zero,132,96,65.2,13.48,high,low,low,-4.8,NA,90,50,low,low,5.32,low,508031.5,-1.6653359893863697,42223.68000000001,-2.3948289153026474
D,5.54666666666667,23.94,0.216666666666667,77.4,147.4,0.100000000000001,0.0600000000000005,positive,126.6,44.4,above_zero,above_zero,above_zero,104,121.8,65,19.16,high,high,high,-5.2,NA,90,48,low,high,5.64,high,510049.5,-1.406704121032347,48984,-2.5104876238450946
B,5.3,24.0066666666667,0.238666666666667,65,139,0.18,0.04,positive,125.4,53,above_zero,above_zero,above_zero,96,90.2,65.2,18.64,high,low,low,-5.2,NA,90,50,low,low,5.32,low,8040049.5,-1.6901613323034066,267033.81999999995,-2.4515172820447355
B,5.33333333333333,24.0066666666667,0.221333333333333,71.4,147.8,0.34,0.12,positive,123.6,51.2,above_zero,above_zero,above_zero,80,93.2,65.8,19.84,high,low,low,-5,NA,90,50,low,low,5.34,low,1116017.5,-1.8,61179.520000000004,-2.469550811549859
B,5.32,24,0.256,67.4,140.8,0.119999999999997,0.04,positive,125,50.2,above_zero,above_zero,above_zero,94,90.6,65.4,21.86,high,low,low,-5,NA,90,50,low,low,5.34,low,7976017.5,-1.406704121032347,266887.68,-2.4665093974931662
B,5.30666666666667,24,0.259333333333333,64,137.6,0.139999999999997,0.04,zero,129.6,45.4,zero,above_zero,zero,130,90,65.8,23.16,low,low,low,-5.2,NA,90,50,low,low,5.32,low,508031.5,-1.3868116113297644,10109.919999999998,-2.5008005124920705
B,5.28666666666667,23.8866666666667,0.219333333333333,63.4,137.2,0.219999999999999,0.0199999999999996,positive,123.4,49.4,above_zero,above_zero,above_zero,118,89.6,68,21.3,high,low,low,-5,NA,90,50,low,low,5.32,low,7984007.5,-1.7633568086760154,263973.28,-2.520327901793584
D,5.57333333333333,23.96,0.227333333333333,71.6,141,0.120000000000001,0.04,positive,125.2,45.8,above_zero,above_zero,above_zero,84,90.8,66,17.6,high,high,high,-5.8,NA,90,46,low,high,5.64,high,7992001.5,-1.717157287525381,264409.42000000004,-2.5543088579352013
D,5.52666666666667,23.94,0.205333333333333,72.8,143.8,0.18,0.04,positive,126,46.2,above_zero,above_zero,above_zero,76,114.4,66.4,17.68,high,high,high,-6,NA,120,46,low,high,5.64,high,7581617.5,-1.6422291236000337,307955.01999999996,-2.5370839782562644
D,5.46666666666667,23.8933333333333,0.257333333333333,66.4,136.6,0.280000000000001,0.0200000000000005,positive,124.8,46.2,above_zero,above_zero,above_zero,84,89.6,65.8,20.32,high,high,high,-5.6,NA,90,46,low,high,5.56,high,7809151.5,-1.3612512230931475,258623.82000000004,-2.4002791117731714
B,5.35333333333333,24.0533333333333,0.213333333333333,70.4,144.6,0.140000000000001,0.0200000000000005,zero,128,40,above_zero,above_zero,zero,126,120.8,72,17.8,low,low,low,-5.4,NA,90,46,low,low,5.32,low,512071.5,-1.6653359893863697,205568.22000000003,-2.1806760837249977
B,5.3,23.9666666666667,0.318666666666667,66.8,140.8,0.3,0.12,zero,127.4,45.6,above_zero,above_zero,zero,124,143.8,67.2,19.42,low,low,low,-5.2,NA,120,46,low,low,5.32,low,512071.5,-1.3306719787727395,48984,-2.439772624355452
B,5.36,24,0.263333333333333,68.4,141.8,0.119999999999997,0.04,positive,125,49.6,above_zero,above_zero,above_zero,100,90,64.6,23.84,high,low,low,-5.4,NA,90,50,low,low,5.36,low,7920199.5,-1.717157287525381,264264,-2.5336961854979534
B,5.28,23.8866666666667,0.325333333333333,66.2,140.6,0.140000000000001,0.04,positive,123.8,49.6,above_zero,above_zero,above_zero,98,90,65.8,16.6,high,low,low,-5.4,NA,90,50,low,low,5.34,low,7936127.5,-1.590121969361616,264409.42000000004,-2.4002791117731714
B,5.35333333333333,23.8333333333333,0.258666666666667,68.6,142.2,0.200000000000003,0.04,positive,124.2,50,above_zero,above_zero,above_zero,102,89.8,65.4,17.16,high,low,low,-5.4,NA,90,50,low,low,5.36,low,7928161.5,-1.590121969361616,262667.01999999996,-2.4002791117731714
B,5.32666666666667,23.92,0.267333333333333,66.8,141,0.34,0.0600000000000005,positive,122.4,50.2,above_zero,above_zero,above_zero,98,120.2,65.4,17.42,high,low,low,-5.4,NA,120,50,low,low,5.36,low,7952071.5,-1.6205266807797944,266887.68,-2.47260691852429
B,5.3,23.8466666666667,0.282,72.4,148.2,0.18,0.08,positive,124.4,50,above_zero,above_zero,above_zero,96,70.4,65.2,17.82,high,low,low,-5.4,NA,70,50,low,low,5.32,low,7912241.5,-1.7633568086760154,263973.28,-2.4485607976206216
B,5.29333333333333,23.98,0.286,67.4,142.6,0.16,0.0600000000000005,positive,126,50.4,above_zero,above_zero,above_zero,98,69.4,65.4,18.08,high,low,low,-5.2,NA,70,50,low,low,5.32,low,7920199.5,-1.373900966300059,265282.77999999997,-2.4604700188001463
A,5.47333333333333,23.9,0.212,68.4,139,0.0400000000000027,0.0200000000000005,zero,128.4,54.8,zero,above_zero,zero,140,95.8,65.6,23.26,low,high,high,-5,NA,70,50,low,mid,5.54,high,508031.5,-1.1705423458668913,205568.22000000003,-2.5104876238450946
B,5.29333333333333,23.8333333333333,0.348666666666667,66.4,140.2,0.18,0.04,positive,125.2,50,above_zero,above_zero,above_zero,96,69.6,65.2,23.64,high,low,low,-5,NA,70,50,low,low,5.32,low,7573831.5,-1.5101020514433645,249641.28000000003,-2.4634825183642635
B,5.32,24.0266666666667,0.261333333333333,69.8,145.2,0.18,0.0999999999999996,positive,124,49.8,above_zero,above_zero,above_zero,96,70.4,65.8,24.16,high,low,low,-5,NA,70,50,low,low,5.3,low,7984007.5,-1.434314575050762,266887.68,-2.3084795041859714
D,5.48,23.94,0.204,76,148.4,0.120000000000001,0,positive,128,50.4,above_zero,above_zero,above_zero,82,69.2,65,23.86,high,high,high,-5,NA,70,50,low,high,5.64,high,7581617.5,-1.2463422527433292,253756.37999999998,-2.491261305740472
B,5.31333333333333,23.9266666666667,0.338666666666667,62.6,136.4,0.199999999999999,0.08,positive,123.8,48.6,above_zero,above_zero,above_zero,96,70.2,65.4,23.58,high,low,low,-5.2,NA,70,46,low,low,5.3,low,7620607.5,-1.1145622551528538,256757.28000000003,-2.494424920719245
B,5.24,23.9266666666667,0.305333333333333,66.6,142,0.140000000000001,0.04,positive,127.4,50,above_zero,above_zero,above_zero,98,70.8,65.4,23.5,high,low,low,-5.2,NA,70,50,low,low,5.28,low,7691041.5,-1.8211145618000166,256327.5,-2.3787463903900843
B,5.26,24.0466666666667,0.272,77.6,152.2,0.0199999999999996,0.04,positive,128.4,50.2,above_zero,above_zero,above_zero,100,70.4,65.4,23.72,high,low,low,-5.2,NA,70,50,low,low,5.3,low,7573831.5,-1.3427329309938005,250631.5,-2.507241833969914
C,5.32,24.0266666666667,0.242,62.6,135.4,0.3,0.04,positive,125.4,50.2,above_zero,above_zero,above_zero,94,100.4,65.4,23.6,high,low,low,-5.6,NA,100,50,low,low,5.44,low,7597201.5,-1.4861906968533947,255183.18,-2.520327901793584
C,5.28666666666667,23.9733333333333,0.275333333333333,61.8,134.2,0.240000000000002,0.0199999999999996,positive,125.8,49.8,above_zero,above_zero,above_zero,100,110,66,23.98,high,low,low,-5.4,NA,110,50,low,low,5.46,low,7573831.5,-1.393369964475876,248089.18,-2.431103484451323
D,5.52666666666667,23.8333333333333,0.146666666666667,69,138.8,0.119999999999997,0.0200000000000005,positive,128.6,48.4,above_zero,above_zero,above_zero,128,115.6,65.8,24.1,high,high,high,-5.2,NA,120,50,low,high,5.32,high,512071.5,-1.7633568086760154,4512,-2.194663497867687
B,5.26666666666667,24.0933333333333,0.322,67.6,142.8,0.219999999999999,0.0200000000000005,positive,125.2,51.2,above_zero,above_zero,above_zero,100,88.6,65,23.62,high,low,low,-5.6,NA,90,50,low,low,5.26,low,7675361.5,-1.262436443416569,269818.08,-2.397548306497739
A,5.43333333333333,23.9533333333333,0.215333333333333,72,144.2,0.100000000000001,0.0200000000000005,positive,123.2,54.6,above_zero,above_zero,above_zero,102,90.4,65.4,23.78,high,high,high,-5.8,NA,90,50,low,mid,5.46,high,7628417.5,-1.355019380136116,254041.41999999995,-2.41690982186912
A,5.44,23.92,0.252666666666667,68.6,141,0.36,0.0599999999999996,positive,124.4,51,above_zero,above_zero,above_zero,102,93.2,64.8,23.56,high,high,high,-5.4,NA,90,50,low,mid,5.44,high,7620607.5,-1.6101282262076415,253756.37999999998,-2.357898804683615
B,5.39333333333333,23.9933333333333,0.256666666666667,67.4,140.2,0.240000000000002,0.0599999999999996,positive,124,50,above_zero,above_zero,above_zero,100,116.4,65.8,23.8,high,low,low,-5.2,NA,120,50,low,low,5.36,low,7620607.5,-1.2516685226452116,263827.98,-2.491261305740472
D,5.39333333333333,24.1733333333333,0.127333333333333,73.2,146.2,0.16,0.0599999999999996,positive,124,50.4,above_zero,above_zero,above_zero,84,89,65.4,23.9,high,high,high,-5,NA,90,50,low,high,5.56,high,7628417.5,-1.7316718427000253,259055.51999999996,-2.2804853989536924
D,5.5,23.8133333333333,0.11,77.2,149.4,0.120000000000001,0,positive,132.8,46.4,above_zero,above_zero,zero,116,92.8,66.2,23.98,low,high,high,-5.8,NA,90,46,low,high,5.6,high,516127.5,-1.6312182217082845,27004.38,-2.249218394016567
D,5.54,24.0333333333333,0.264666666666667,72.2,142.8,0.279999999999998,0.0600000000000005,positive,123.4,49.8,above_zero,above_zero,above_zero,86,101.8,65.8,23.84,high,high,high,-5.6,NA,100,46,low,high,5.5,high,7636231.5,-1.3868116113297644,245840.22000000003,-2.469550811549859
B,5.46,24.0466666666667,0.321333333333333,67,137.2,0.199999999999999,0.04,positive,122.8,49.8,above_zero,above_zero,above_zero,92,91.2,69,23.42,high,low,low,-5.8,NA,90,50,low,low,5.48,low,8008001.5,-1.7316718427000253,264845.92,-2.478763856686568
A,5.46666666666667,24.0133333333333,0.275333333333333,70,141.2,0.199999999999999,0.0200000000000005,positive,121,54.8,above_zero,above_zero,above_zero,102,89.8,65.4,24.22,high,high,high,-5.4,NA,90,50,low,mid,5.54,high,7976017.5,-1.434314575050762,269230.72,-2.454487549697077
A,5.45333333333333,23.9466666666667,0.202666666666667,63.4,132.8,0.100000000000001,0.0199999999999996,positive,123.4,50,above_zero,above_zero,above_zero,82,90,65.8,24.16,high,high,high,-5.2,NA,90,50,low,mid,5.56,high,7597201.5,-1.4633436854000506,254041.41999999995,-2.4604700188001463
